Rectangle_Index,Match_Index,Point_X,Point_Y,Latitude,Longitude,Altitude
0,426,1924.384,1575.5204,48.18932342529297,11.500140653213991,499.0380859375
1,470,1958.219,1838.121,48.189266204833984,11.500134948532517,500.30316162109375
2,293,1709.9019,1601.3142,48.1893196105957,11.500208930015976,501.01800537109375
3,302,1737.8226,1869.6509,48.18931198120117,11.500180412849646,539.5046997070312
4,311,1742.863,1720.337,48.189292907714844,11.500200508383871,501.5769348144531
5,199,1539.4935,1905.0393,48.18925857543945,11.500260223287077,505.46124267578125
6,132,1372.152,2016.0002,48.18924331665039,11.500304226470087,507.8700256347656
7,103,1337.717,1865.5023,48.18927001953125,11.500313054807206,507.25018310546875
